Year,Names,Number,Rank
2021,Olivia,493,1
2021,Amelia,489,2
2021,Charlotte,486,3
2021,Isla,439,4
2021,Ava,414,5
2021,Mia,375,6
2021,Grace,367,7
2021,Chloe,335,8
2021,Matilda,326,9
2021,Ella,322,10
2021,Sienna,305,11
2021,Sophia,299,12
2021,Isabella,290,13
2021,Willow,275,14
2021,Lily,266,15
2021,Zoe,264,16
2021,Evie,258,17
2021,Harper,256,18
2021,Audrey,251,19
2021,Sophie,246,20
2021,Evelyn,245,21
2021,Mila,242,22
2021,Ivy,231,23
2021,Sofia,231,23
2021,Ruby,221,25
2021,Aria,219,26
2021,Hazel,210,27
2021,Maya,197,28
2021,Zara,193,29
2021,Lucy,192,30
2021,Florence,188,31
2021,Georgia,188,31
2021,Luna,184,33
2021,Violet,183,34
2021,Aurora,182,35
2021,Daisy,182,35
2021,Emily,182,35
2021,Layla,181,38
2021,Hannah,179,39
2021,Scarlett,178,40
2021,Frankie,176,41
2021,Ellie,167,42
2021,Isabelle,165,43
2021,Penelope,165,43
2021,Ayla,163,45
2021,Emilia,163,45
2021,Poppy,160,47
2021,Eleanor,155,48
2021,Abigail,151,49
2021,Emma,147,50
2021,Eva,142,51
2021,Elsie,141,52
2021,Billie,136,53
2021,Freya,134,54
2021,Mackenzie,134,54
2021,Lola,133,56
2021,Bonnie,130,57
2021,Alice,128,58
2021,Remi,126,59
2021,Stella,126,59
2021,Olive,124,61
2021,Eloise,123,62
2021,Millie,123,62
2021,Elena,119,64
2021,Harriet,119,64
2021,Piper,113,66
2021,Eliana,104,67
2021,Lara,104,67
2021,Addison,103,69
2021,Savannah,102,70
2021,Bella,100,71
2021,Ariana,99,72
2021,Phoebe,99,72
2021,Summer,98,74
2021,Aaliyah,97,75
2021,Sadie,96,76
2021,Rose,94,77
2021,Maeve,92,78
2021,Claire,89,79
2021,Imogen,88,80
2021,Anna,87,81
2021,Elizabeth,87,81
2021,Jasmine,87,81
2021,Leah,87,81
2021,Zoey,87,81
2021,Eden,86,86
2021,Pippa,84,87
2021,Riley,84,87
2021,Nora,83,89
2021,Charlie,82,90
2021,Gabriella,82,90
2021,Valentina,82,90
2021,Quinn,81,93
2021,Delilah,80,94
2021,Hallie,80,94
2021,Adeline,79,96
2021,Eliza,79,96
2021,Lyla,79,96
2021,Sarah,79,96
2021,Molly,78,100
2020,Amelia,514,1
2020,Olivia,476,2
2020,Charlotte,460,3
2020,Isla,420,4
2020,Mia,420,4
2020,Ava,391,6
2020,Chloe,375,7
2020,Grace,323,8
2020,Sophia,302,9
2020,Zoe,301,10
2020,Harper,293,11
2020,Ivy,291,12
2020,Ella,289,13
2020,Isabella,289,13
2020,Sophie,276,15
2020,Sienna,273,16
2020,Matilda,270,17
2020,Willow,266,18
2020,Lily,247,19
2020,Evelyn,245,20
2020,Mila,244,21
2020,Ruby,242,22
2020,Evie,240,23
2020,Layla,220,24
2020,Audrey,210,25
2020,Emily,209,26
2020,Lucy,206,27
2020,Aria,205,28
2020,Hannah,201,29
2020,Hazel,200,30
2020,Georgia,195,31
2020,Zara,192,32
2020,Sofia,190,33
2020,Scarlett,179,34
2020,Ellie,171,35
2020,Emma,170,36
2020,Frankie,166,37
2020,Abigail,164,38
2020,Isabelle,164,38
2020,Florence,157,40
2020,Eva,151,41
2020,Violet,151,41
2020,Emilia,150,43
2020,Elsie,141,44
2020,Eleanor,140,45
2020,Aurora,139,46
2020,Penelope,137,47
2020,Jasmine,136,48
2020,Poppy,135,49
2020,Alice,133,50
2020,Freya,132,51
2020,Bonnie,131,52
2020,Maya,131,52
2020,Stella,127,54
2020,Luna,124,55
2020,Ayla,123,56
2020,Billie,121,57
2020,Elizabeth,119,58
2020,Mackenzie,118,59
2020,Lola,114,60
2020,Eloise,113,61
2020,Harriet,112,62
2020,Savannah,112,62
2020,Aaliyah,111,64
2020,Rose,111,64
2020,Piper,110,66
2020,Daisy,108,67
2020,Lara,106,68
2020,Millie,106,68
2020,Hallie,105,70
2020,Elena,103,71
2020,Ariana,101,72
2020,Sadie,101,72
2020,Sarah,101,72
2020,Anna,100,75
2020,Remi,99,76
2020,Phoebe,97,77
2020,Olive,96,78
2020,Imogen,95,79
2020,Eliana,94,80
2020,Harlow,90,81
2020,Annabelle,89,82
2020,Molly,89,82
2020,Bella,88,84
2020,Addison,86,85
2020,Summer,84,86
2020,Clara,82,87
2020,Claire,81,88
2020,Eliza,81,88
2020,Gabriella,80,90
2020,Maddison,80,90
2020,Delilah,79,92
2020,Zoey,79,92
2020,Isabel,77,94
2020,Adeline,76,95
2020,Charlie,76,95
2020,Eden,76,95
2020,Maeve,76,95
2020,Chelsea,74,99
2020,Maryam,74,99
2019,Charlotte,504,1
2019,Olivia,483,2
2019,Amelia,467,3
2019,Mia,465,4
2019,Isla,408,5
2019,Ava,392,6
2019,Chloe,353,7
2019,Grace,323,8
2019,Sophia,319,9
2019,Ella,310,10
2019,Isabella,302,11
2019,Zoe,299,12
2019,Harper,295,13
2019,Willow,295,13
2019,Matilda,270,15
2019,Sophie,270,15
2019,Evelyn,263,17
2019,Ruby,259,18
2019,Ivy,258,19
2019,Evie,248,20
2019,Lily,243,21
2019,Sienna,241,22
2019,Emily,238,23
2019,Aria,237,24
2019,Mila,232,25
2019,Audrey,218,26
2019,Abigail,209,27
2019,Georgia,208,28
2019,Lucy,204,29
2019,Zara,198,30
2019,Scarlett,188,31
2019,Eva,186,32
2019,Hannah,183,33
2019,Ellie,181,34
2019,Sofia,179,35
2019,Layla,172,36
2019,Frankie,169,37
2019,Hazel,166,38
2019,Alice,156,39
2019,Emma,155,40
2019,Isabelle,154,41
2019,Emilia,149,42
2019,Luna,149,42
2019,Elsie,142,44
2019,Violet,139,45
2019,Eleanor,138,46
2019,Elizabeth,136,47
2019,Freya,131,48
2019,Penelope,131,48
2019,Florence,129,50
2019,Maya,126,51
2019,Aurora,125,52
2019,Stella,121,53
2019,Mackenzie,120,54
2019,Poppy,116,55
2019,Elena,112,56
2019,Jasmine,111,57
2019,Billie,110,58
2019,Phoebe,110,58
2019,Annabelle,109,60
2019,Ariana,109,60
2019,Daisy,106,62
2019,Ayla,105,63
2019,Claire,105,63
2019,Harriet,103,65
2019,Piper,103,65
2019,Sarah,103,65
2019,Lara,102,68
2019,Bella,101,69
2019,Anna,99,70
2019,Savannah,95,71
2019,Imogen,94,72
2019,Rose,94,72
2019,Summer,94,72
2019,Alyssa,93,75
2019,Charlie,91,76
2019,Olive,91,76
