Year,Names,Number,Rank
2021,Oliver,695,1
2021,Noah,633,2
2021,Jack,459,3
2021,William,458,4
2021,Henry,444,5
2021,Leo,424,6
2021,Lucas,410,7
2021,Theodore,378,8
2021,Levi,339,9
2021,Liam,336,10
2021,Elijah,331,11
2021,Thomas,330,12
2021,Archie,327,13
2021,Charlie,327,13
2021,Hudson,324,15
2021,Luca,317,16
2021,Alexander,314,17
2021,James,310,18
2021,Ethan,285,19
2021,Lachlan,274,20
2021,Oscar,272,21
2021,Harrison,270,22
2021,Isaac,268,23
2021,Cooper,259,24
2021,Max,253,25
2021,George,245,26
2021,Arthur,241,27
2021,Sebastian,240,28
2021,Kai,238,29
2021,Hunter,236,30
2021,Benjamin,234,31
2021,Harvey,234,31
2021,Harry,232,33
2021,Arlo,231,34
2021,Hugo,230,35
2021,Jacob,224,36
2021,Mason,224,36
2021,Archer,214,38
2021,Samuel,210,39
2021,Beau,199,40
2021,Xavier,195,41
2021,Joshua,192,42
2021,Finn,190,43
2021,Joseph,188,44
2021,Ryan,182,45
2021,Edward,173,46
2021,Muhammad,172,47
2021,Louis,169,48
2021,Austin,167,49
2021,Logan,165,50
2021,Daniel,164,51
2021,Adam,163,52
2021,Michael,162,53
2021,Sonny,161,54
2021,Jackson,160,55
2021,Gabriel,157,56
2021,Jasper,157,56
2021,Jordan,153,58
2021,Patrick,152,59
2021,Leon,151,60
2021,Riley,149,61
2021,Aiden,148,62
2021,Carter,147,63
2021,Eli,146,64
2021,Jayden,144,65
2021,Ali,142,66
2021,Luka,142,66
2021,Lincoln,141,68
2021,Theo,134,69
2021,River,133,70
2021,Flynn,129,71
2021,Felix,128,72
2021,Christian,126,73
2021,Leonardo,125,74
2021,Billy,124,75
2021,Asher,122,76
2021,Zachary,122,76
2021,Elias,119,78
2021,Bodhi,118,79
2021,Lennox,118,79
2021,Nicholas,117,81
2021,Angus,115,82
2021,Jude,110,83
2021,Roman,108,84
2021,Matthew,106,85
2021,Vincent,106,85
2021,Ari,105,87
2021,Ezra,105,87
2021,Charles,104,89
2021,Luke,103,90
2021,Ashton,102,91
2021,Spencer,102,91
2021,Koa,100,93
2021,Zayn,100,93
2021,Jaxon,99,95
2021,Owen,99,95
2021,Maxwell,98,97
2021,Anthony,97,98
2021,Isaiah,97,98
2021,Tyler,96,100
2020,Oliver,637,1
2020,Noah,593,2
2020,William,478,3
2020,Leo,420,4
2020,Lucas,409,5
2020,Liam,383,6
2020,Jack,376,7
2020,Henry,374,8
2020,Elijah,371,9
2020,Thomas,351,10
2020,Alexander,344,11
2020,James,344,11
2020,Charlie,335,13
2020,Levi,317,14
2020,Theodore,313,15
2020,Hudson,307,16
2020,Jacob,293,17
2020,Archie,290,18
2020,Ethan,287,19
2020,Harrison,286,20
2020,Mason,270,21
2020,Hunter,264,22
2020,Isaac,259,23
2020,Oscar,245,24
