Year,Names,Number,Rank
2021,Fiadh,424,1
2021,Grace,412,2
2021,Emily,388,3
2021,Sophie,336,4
2021,Éabha,288,5
2021,Lucy,287,6
2021,Mia,279,7
2021,Ava,272,8
2021,Lily,271,9
2021,Ella,268,10
2021,Amelia,265,11
2021,Chloe,243,12
2021,Hannah,238,13
2021,Sophia,234,14
2021,Emma,233,15
2021,Ellie,228,16
2021,Isla,226,17
2021,Molly,219,18
2021,Olivia,219,18
2021,Sadie,219,18
2021,Anna,209,21
2021,Freya,208,22
2021,Evie,190,23
2021,Saoirse,190,23
2021,Caoimhe,183,25
2021,Ruby,180,26
2021,Robyn,175,27
2021,Kate,172,28
2021,Willow,166,29
2021,Sofia,162,30
2021,Holly,160,31
2021,Aoife,159,32
2021,Cara,155,33
2021,Róisín,152,34
2021,Katie,150,35
2021,Sadhbh,150,35
2021,Leah,148,37
2021,Millie,148,37
2021,Isabelle,147,39
2021,Alice,138,40
2021,Clodagh,138,40
2021,Zoe,136,42
2021,Sarah,134,43
2021,Erin,132,44
2021,Ada,131,45
2021,Annie,129,46
2021,Bonnie,128,47
2021,Charlotte,122,48
2021,Layla,122,48
2021,Rosie,118,50
2021,Maya,117,51
2021,Croía,116,52
2021,Faye,113,53
2021,Zara,111,54
2021,Isabella,106,55
2021,Daisy,105,56
2021,Maisie,100,57
2021,Méabh,100,57
2021,Sienna,100,57
2021,Ailbhe,98,60
2021,Harper,98,60
2021,Eve,96,62
2021,Eva,95,63
2021,Ivy,95,63
2021,Ciara,94,65
2021,Jessica,90,66
2021,Clara,88,67
2021,Mila,87,68
2021,Fíadh,86,69
2021,Rose,84,70
2021,Aoibhín,83,71
2021,Niamh,82,72
2021,Bella,81,73
2021,Julia,81,73
2021,Maria,80,75
2021,Hazel,78,76
2021,Emilia,77,77
2021,Indie,74,78
2021,Laura,74,78
2021,Amber,73,80
2021,Lauren,73,80
2021,Aria,70,82
2021,Ayla,68,83
2021,Amy,67,84
2021,Lara,66,85
2021,Paige,66,85
2021,Elsie,65,87
2021,Heidi,64,88
2021,Elizabeth,63,89
2021,Pippa,62,90
2021,Evelyn,61,91
2021,Mollie,61,91
2021,Abigail,59,93
2021,Nina,58,94
2021,Áine,58,94
2021,Laoise,57,96
2021,Luna,57,96
2021,Alannah,56,98
2021,Lottie,56,98
2021,Penny,56,98
2021,Ellen,55,101
2021,Georgia,55,101
2021,Kayla,54,103
2021,Madison,53,104
2021,Matilda,53,104
2021,Alexandra,52,106
2021,Maeve,52,106
2021,Poppy,52,106
2021,Hayley,50,109
2021,Abbie,49,110
2021,Cora,49,110
2021,Isabel,49,110
2021,Ayda,48,113
2021,Hailey,48,113
2021,Aoibheann,47,115
2021,Gracie,47,115
2021,Cadhla,46,117
2021,Aoibhinn,45,118
2021,Hollie,45,118
2021,Zoey,45,118
2021,Lola,44,121
2021,Rachel,44,121
2021,Phoebe,43,123
2021,Rebecca,43,123
2021,Hallie,42,125
2021,Stella,42,125
2021,Aoibhe,41,127
2021,Mary,41,127
2021,Tara,41,127
2021,Caragh,40,130
2021,Nell,40,130
2021,Nora,40,130
2021,Megan,39,133
2021,Remi,39,133
2021,Tess,39,133
2021,Aisling,37,136
2021,Doireann,37,136
2021,Jasmine,37,136
2021,Lucia,37,136
2021,Siún,37,136
2021,Summer,37,136
2021,Thea,37,136
2021,Darcie,36,143
2021,Eliza,36,143
2021,Rhea,36,143
2021,Frankie,35,146
2021,Eleanor,34,147
2021,Maggie,34,147
2021,Aoibh,33,149
2021,Esmé,33,149
2021,Hanna,33,149
2021,Lexi,33,149
2021,Victoria,33,149
2021,Arabella,32,154
2021,Callie,32,154
2021,Naoise,32,154
2021,Róise,32,154
2021,Brooke,31,158
2021,Nicole,31,158
2021,Alanna,30,160
2021,Elena,30,160
2021,Lilly,30,160
2021,Melissa,30,160
2021,Penelope,30,160
2021,Ariana,29,165
2021,Arya,29,165
2021,Aurora,29,165
2021,Florence,29,165
2021,Naomi,29,165
2021,Robin,29,165
2021,Ruth,29,165
2021,Annabelle,28,172
2021,Beth,28,172
2021,Esme,28,172
2021,Lena,28,172
2021,Sara,28,172
2021,Croíadh,27,177
2021,Eimear,27,177
2021,Elle,27,177
2021,Lia,27,177
2021,Lydia,27,177
2021,Lyla,27,177
2021,Éala,27,177
2021,Gráinne,26,184
