Year,Names,Number,Rank
2021,Jack,667,1
2021,Noah,475,2
2021,James,442,3
2021,Conor,360,4
2021,Rían,357,5
2021,Liam,353,6
2021,Charlie,345,7
2021,Daniel,325,8
2021,Cillian,322,9
2021,Tadhg,318,10
2021,Michael,310,11
2021,Oisín,302,12
2021,Finn,299,13
2021,Fionn,289,14
2021,Thomas,288,15
2021,Seán,274,16
2021,Darragh,273,17
2021,Luke,268,18
2021,Patrick,266,19
2021,Harry,264,20
2021,Alex,253,21
2021,Adam,237,22
2021,Cian,217,23
2021,Theo,210,24
2021,Oliver,208,25
2021,Dylan,205,26
2021,Jamie,203,27
2021,John,198,28
2021,Leo,192,29
2021,Oscar,189,30
2021,Ollie,187,31
2021,Ben,185,32
2021,Tom,181,33
2021,Bobby,179,34
2021,Ryan,172,35
2021,Tommy,171,36
2021,Matthew,170,37
2021,Max,170,37
2021,Callum,162,39
2021,Sam,161,40
2021,Danny,158,41
2021,Aaron,151,42
2021,Alexander,150,43
2021,Alfie,147,44
2021,Jake,147,44
2021,Mason,143,46
2021,David,141,47
2021,Joseph,139,48
2021,Jacob,137,49
2021,Ethan,135,50
2021,Kai,130,51
2021,Shay,126,52
2021,Donnacha,122,53
2021,Luca,121,54
2021,Sonny,121,54
2021,Senan,120,56
2021,William,118,57
2021,Evan,116,58
2021,Archie,114,59
2021,Freddie,113,60
2021,Lucas,112,61
2021,Leon,109,62
2021,Nathan,109,62
2021,Hugo,108,64
2021,Joshua,108,64
2021,Benjamin,106,66
2021,Arthur,105,67
2021,Louis,105,67
2021,Billy,99,69
2021,Jayden,97,70
2021,Logan,97,70
2021,Theodore,96,72
2021,Aidan,94,73
2021,Rory,90,74
2021,Samuel,89,75
2021,Teddy,88,76
2021,Frankie,86,77
2021,Daithí,84,78
2021,Páidí,84,78
2021,Jaxon,83,80
2021,Odhran,82,81
2021,Zach,82,81
2021,Eoin,80,83
2021,George,76,84
2021,Brody,75,85
2021,Robert,75,85
2021,Isaac,74,87
2021,Shane,72,88
2021,Cathal,71,89
2021,Ted,70,90
2021,Hunter,69,91
2021,Sebastian,68,92
2021,Tadgh,68,92
2021,Tiernan,68,92
2021,Andrew,67,95
2021,Martin,67,95
2021,Edward,66,97
2021,Ronan,66,97
2021,Arlo,64,99
2021,Eli,64,99
2021,Conall,63,101
2021,Eoghan,62,102
2021,Sean,62,102
2021,Caelan,61,104
2021,Cody,61,104
2021,Joey,61,104
2021,Rian,61,104
2021,Henry,59,108
2021,Kayden,58,109
2021,Killian,58,109
2021,Muhammad,58,109
2021,Odhrán,58,109
2021,Dáithí,57,113
2021,Iarlaith,57,113
2021,Gabriel,56,115
2021,Kyle,56,115
2021,Mark,56,115
2021,Blake,55,118
2021,Christopher,54,119
2021,Tomás,54,119
2021,Anthony,53,121
2021,Caleb,53,121
2021,Dara,53,121
2021,Milo,53,121
2021,Levi,52,125
2021,Ruairí,51,126
2021,Peter,50,127
2021,Rhys,50,127
2021,Jordan,49,129
2021,Paddy,49,129
2021,Elijah,48,131
2021,Hugh,48,131
2021,Kevin,48,131
2021,Éanna,48,131
2021,Iarla,47,135
2021,Joe,47,135
2021,Harvey,46,137
2021,Lorcan,46,137
2021,Josh,45,139
2021,Zack,43,140
2021,Dominic,42,141
2021,Donagh,42,141
2021,Jude,42,141
2021,Myles,42,141
2021,Reuben,42,141
2021,Lewis,41,146
2021,Riley,41,146
2021,Jason,40,148
2021,Jonah,40,148
2021,Cormac,39,150
2021,Niall,38,151
2021,Rowan,38,151
2021,Ciarán,37,153
2021,Jackson,37,153
2021,Scott,37,153
2021,Tyler,37,153
2021,Paul,36,157
2021,Conn,35,158
2021,Elliot,35,158
2021,Louie,35,158
2021,Robbie,35,158
2021,Dáire,34,162
2021,Roman,34,162
2021,Caolán,33,164
2021,Cooper,33,164
2021,Diarmuid,33,164
2021,Pádraig,33,164
2021,Beau,32,168
2021,Cameron,32,168
2021,Charles,32,168
2021,Ezra,32,168
2021,Felix,32,168
