Year,Names,Number,Rank
2021,Charlotte,227,1
2021,Isla,214,2
2021,Amelia,207,3
2021,Olivia,185,4
2021,Ava,184,5
2021,Willow,180,6
2021,Lily,174,7
2021,Isabella,171,8
2021,Mila,170,9
2021,Ella,165,10
2021,Mia,164,11
2021,Sophie,163,12
2021,Hazel,160,13
2021,Harper,156,14
2021,Emily,153,15
2021,Lucy,150,16
2021,Chloe,148,17
2021,Grace,144,18
2021,Ruby,135,19
2021,Matilda,125,20
2021,Zoe,125,20
2021,Freya,123,22
2021,Aria,121,23
2021,Ivy,114,24
2021,Maia,113,25
2021,Sophia,113,25
2021,Evelyn,109,27
2021,Georgia,109,27
2021,Olive,109,27
2021,Riley,104,30
2021,Luna,103,31
2021,Ellie,99,32
2021,Florence,98,33
2021,Millie,98,33
2021,Sienna,96,35
2021,Evie,94,36
2021,Frankie,94,36
2021,Layla,92,38
2021,Ayla,90,39
2021,Isabelle,87,40
2021,Poppy,87,40
2021,Aurora,86,42
2021,Emma,85,43
2021,Madison,83,44
2021,Billie,79,45
2021,Mackenzie,78,46
2021,Alice,75,47
2021,Thea,75,47
2021,Daisy,72,49
2021,Indie,72,49
2021,Abigail,71,51
2021,Maeve,70,52
2021,Penelope,70,52
2021,Quinn,70,52
2021,Emilia,69,55
2021,Scarlett,68,56
2021,Violet,68,56
2021,Addison,67,58
2021,Sofia,67,58
2021,Eva,66,60
2021,Amaia,64,61
2021,Elsie,64,61
2021,Harriet,64,61
2021,Stella,64,61
2021,Bella,63,65
2021,Maddison,63,65
2021,Sadie,63,65
2021,Elizabeth,62,68
2021,Eden,61,69
2021,Eleanor,61,69
2021,Margot,59,71
2021,Piper,59,71
2021,Harlow,58,73
2021,Zara,58,73
2021,Hannah,57,75
2021,Amber,56,76
2021,Eliza,55,77
2021,Ada,54,78
2021,Phoebe,53,79
2021,Kiara,52,80
2021,Zoey,51,81
2021,Kaia,50,82
2021,Nevaeh,50,82
2021,Leah,48,84
2021,Maya,48,84
2021,Summer,48,84
2021,Eloise,47,87
2021,Jasmine,47,87
2021,Paige,47,87
2021,Marley,46,90
2021,Cleo,45,91
2021,Maisie,45,91
2021,Pippa,45,91
2021,Rosie,45,91
2021,Amara,44,95
2021,Kora,44,95
2021,Lilly,44,95
2021,Nina,44,95
2021,Anna,43,99
2021,Bonnie,43,99
2021,Esther,43,99
2021,Maria,43,99
2021,Peyton,43,99
2021,Rose,43,99
2021,Aaliyah,42,105
2021,Heidi,42,105
2021,Iris,42,105
2021,Molly,42,105
2021,Brooklyn,41,109
2021,Manaia,41,109
2021,Maggie,40,111
2021,Adeline,39,112
2021,Charlie,39,112
2021,Bailey,38,114
2021,Cora,38,114
2021,Isabel,38,114
2021,Elena,37,117
2021,Lola,37,117
2021,Naomi,37,117
2021,Skye,37,117
2021,Willa,37,117
2021,Eliana,36,122
2021,Lyla,36,122
2021,Gracie,35,124
2021,Imogen,35,124
2021,Madeline,35,124
2021,Stevie,35,124
2021,Alexandra,34,128
2021,Annabelle,34,128
2021,Clara,34,128
2021,Delilah,34,128
2021,Esme,34,128
2021,Isobel,34,128
2021,Skylar,34,128
2021,Nora,33,135
2021,Arabella,32,136
2021,Aubrey,32,136
2021,Georgie,32,136
2021,Faith,31,139
2021,Keira,31,139
2021,Leila,31,139
2021,Mabel,31,139
2021,Rylee,31,139
2021,Athena,30,144
2021,Jessica,30,144
2021,Victoria,30,144
2021,Autumn,29,147
2021,Fern,29,147
2021,Skyla,29,147
2021,Anaya,28,150
2021,Blake,28,150
2021,Francesca,28,150
2021,Sage,28,150
2021,Sylvie,28,150
2021,Tilly,28,150
2021,Ariana,27,156
2021,Lara,27,156
2021,Ana,26,158
2021,Gabriella,26,158
2021,Goldie,26,158
2021,Harley,26,158
2021,Jade,26,158
2021,Lexi,26,158
2021,River,26,158
