Year,Names,Number,Rank
2021,Oliver,308,1
2021,Noah,265,2
2021,Jack,235,3
2021,Leo,234,4
2021,George,222,5
2021,Charlie,200,6
2021,Lucas,190,7
2021,Theodore,187,8
2021,William,181,9
2021,Luca,172,10
2021,Elijah,171,11
2021,Liam,167,12
2021,Mason,167,12
2021,James,166,14
2021,Thomas,166,14
2021,Hudson,160,16
2021,Arlo,155,17
2021,Lachlan,152,18
2021,Archie,147,19
2021,Arthur,144,20
2021,Hunter,144,20
2021,Oscar,140,22
2021,Max,136,23
2021,Levi,133,24
2021,Finn,128,25
2021,Hugo,127,26
2021,Ethan,124,27
2021,Asher,122,28
2021,Henry,118,29
2021,Cooper,117,30
2021,Carter,114,31
2021,Ezra,110,32
2021,Lincoln,107,33
2021,Felix,106,34
2021,Alexander,105,35
2021,Archer,105,35
2021,Beau,105,35
2021,Harrison,105,35
2021,Eli,104,39
2021,Jackson,104,39
2021,Louis,97,41
2021,Theo,96,42
2021,Benjamin,95,43
2021,Nikau,94,44
2021,Isaac,87,45
2021,Joseph,87,45
2021,Joshua,86,47
2021,Blake,85,48
2021,Daniel,82,49
2021,Samuel,82,49
2021,Grayson,81,51
2021,Caleb,80,52
2021,Jasper,79,53
2021,Luka,79,53
2021,Braxton,78,55
2021,Edward,78,55
2021,Jacob,78,55
2021,Harry,77,58
2021,Harvey,77,58
2021,River,77,58
2021,Riley,76,61
2021,Roman,76,61
2021,Luke,74,63
2021,Sebastian,74,63
2021,Bodhi,73,65
2021,Nico,73,65
2021,Louie,72,67
2021,Quinn,72,67
2021,Logan,70,69
2021,Ryan,68,70
2021,Oakley,66,71
2021,Charles,65,72
2021,Jordan,64,73
2021,Ari,62,74
2021,Connor,62,74
2021,Nathan,62,74
2021,Aiden,61,77
2021,Ryder,61,77
2021,Toby,61,77
2021,Austin,58,80
2021,Freddie,58,80
2021,Michael,58,80
2021,Spencer,58,80
2021,Zion,57,84
2021,Jaxon,56,85
2021,John,56,85
2021,Micah,56,85
2021,Otis,56,85
2021,Gabriel,55,89
2021,Isaiah,55,89
2021,Miles,55,89
2021,Zachary,55,89
2021,Leon,54,93
2021,Ezekiel,53,94
2021,Tyler,53,94
2021,Adam,52,96
2021,Harley,52,96
2021,Tobias,51,98
2021,Beauden,50,99
2021,Jayden,50,99
2021,Lennox,50,99
2021,Flynn,49,102
2021,Owen,49,102
2021,Xavier,49,102
2021,Dylan,48,105
2021,Elliot,48,105
2021,Matthew,48,105
2021,Ollie,48,105
2021,Billy,47,109
2021,Kayden,47,109
2021,Niko,47,109
2021,Patrick,47,109
2021,Tyson,47,109
2021,Angus,46,114
2021,Finley,46,114
2021,Kingston,46,114
2021,Koa,46,114
2021,Phoenix,46,114
2021,Jai,45,119
2021,Mateo,45,119
2021,Keanu,44,121
2021,Kiaan,44,121
2021,Wyatt,44,121
2021,Fletcher,43,124
2021,Tommy,43,124
2021,Aaron,42,126
2021,Ashton,42,126
2021,David,42,126
2021,Marley,42,126
2021,Manaia,41,130
2021,Mikaere,41,130
2021,Fergus,40,132
2021,Jesse,40,132
2021,Malakai,40,132
2021,Maxwell,39,135
2021,Atlas,38,136
2021,Axel,38,136
2021,Brodie,38,136
2021,Muhammad,38,136
2021,Jude,37,140
2021,Lewis,37,140
2021,Lochlan,37,140
2021,Elias,36,143
2021,Josiah,36,143
2021,Remy,36,143
2021,Vincent,36,143
2021,Jake,35,147
2021,Nathaniel,35,147
2021,Parker,35,147
2021,Walter,35,147
2021,Jett,34,151
2021,Ayaan,33,152
2021,Christopher,33,152
2021,Leonardo,33,152
2021,Reuben,33,152
2021,Robert,33,152
2021,Rory,33,152
2021,Alfred,32,158
2021,Finlay,32,158
2021,Frederick,32,158
2021,Jeremiah,32,158
2021,Alex,31,162
2021,Colton,31,162
2021,Kobe,31,162
2021,Kyrie,31,162
2021,Malachi,31,162
2021,Marcus,31,162
2021,Odin,31,162
2021,August,30,169
2021,Enzo,30,169
2021,Israel,30,169
2021,Reign,30,169
2021,Sione,30,169
2021,Zane,30,169
2021,Cole,29,175
2021,Frank,29,175
2021,Abel,28,177
2021,Boston,28,177
2021,Aarav,27,179
2021,Casey,27,179
2021,Jax,27,179
2021,Julian,27,179
2021,Kairo,27,179
2021,Kiwa,27,179
2021,Maverick,27,179
2021,Myles,27,179
2021,Rocco,27,179
2021,Brody,26,188
2021,Heath,26,188
2021,Kian,26,188
2021,Lukas,26,188
2021,Mohammed,26,188
2021,Sam,26,188
2021,Anthony,25,194
2021,Cairo,25,194
2021,Fox,25,194
2021,Hendrix,25,194
2021,Mac,25,194
2021,Monty,25,194
2021,Rowan,25,194
2021,Te Ariki,25,194
2021,Ace,24,202
2021,Aidan,24,202
2021,Albert,24,202
2021,Benji,24,202
2021,Brooklyn,24,202
2021,Cameron,24,202
2021,Chase,24,202
2021,Gus,24,202
2021,Koda,24,202
2021,Matteo,24,202
2021,Albie,23,212
2021,Dominic,23,212
2021,Emmett,23,212
2021,Franklin,23,212
2021,Jonathan,23,212
2021,Judah,23,212
2021,Kabir,23,212
2021,Miller,23,212
