Year,Names,UNIT,VALUE
1964,Jack,Number,
1964,Sean,Number,171
1964,Conor,Number,97
1964,Daniel,Number,395
1964,James,Number,1554
1964,Adam,Number,
1964,Ryan,Number,
1964,Luke,Number,26
1964,Cian,Number,
1964,Michael,Number,2157
1964,Dylan,Number,
1964,Aaron,Number,
1964,Darragh,Number,
1964,Thomas,Number,1349
1964,Matthew,Number,89
1964,David,Number,936
1964,Jamie,Number,
1964,Oisin,Number,3
1964,Patrick,Number,2235
1964,Alex,Number,
1964,John,Number,3696
1964,Cillian,Number,
1964,Evan,Number,
1964,Eoin,Number,42
1964,Shane,Number,49
1964,Liam,Number,111
1964,Ben,Number,
1964,Jake,Number,
1964,Joshua,Number,
1964,Mark,Number,279
1964,Harry,Number,
1964,Fionn,Number,
1964,Joseph,Number,737
1964,Callum,Number,
1964,Samuel,Number,18
1964,Charlie,Number,
1964,Nathan,Number,
1964,Cathal,Number,32
1964,Kyle,Number,
1964,Robert,Number,342
1964,Ciaran,Number,124
1964,Ronan,Number,70
1964,Andrew,Number,195
1964,Kevin,Number,452
1964,William,Number,875
1964,Ethan,Number,
1964,Tadhg,Number,
1964,Rory,Number,56
1964,Noah,Number,
1964,Calum,Number,
1964,Brian,Number,464
1964,Eoghan,Number,9
1964,Cormac,Number,39
1964,Finn,Number,
1964,Aidan,Number,182
1964,Alexander,Number,19
1964,Benjamin,Number,13
1964,Rian,Number,
1964,Sam,Number,
1964,Stephen,Number,296
1964,Christopher,Number,289
1964,Killian,Number,5
1964,Josh,Number,
1964,Gavin,Number,3
1964,Alan,Number,245
1964,Peter,Number,527
1964,Scott,Number,
1964,Jason,Number,
1964,Max,Number,
1964,Lee,Number,
1964,Anthony,Number,613
1964,Paul,Number,1814
1964,Martin,Number,849
1964,Tom,Number,
1964,Leon,Number,
1964,Niall,Number,142
1964,Oliver,Number,69
1964,Rhys,Number,
1964,Dean,Number,
1964,Dara,Number,10
1964,Oscar,Number,
1964,Colm,Number,144
1964,Diarmuid,Number,25
1964,Edward,Number,425
1964,Jayden,Number,
1964,Christian,Number,
1964,Louis,Number,13
1964,Oran,Number,
1964,Padraig,Number,38
1964,Charles,Number,145
1964,Leo,Number,28
1964,Lucas,Number,
1964,Ross,Number,6
1964,Cameron,Number,
1964,Jacob,Number,
1964,Kieran,Number,224
1964,Brandon,Number,
1964,Ruairi,Number,
1964,Reece,Number,
1964,Tomas,Number,7
1964,Isaac,Number,3
1964,Kian,Number,
1964,Senan,Number,6
1964,Odhran,Number,
1964,Jakub,Number,
1964,Jonathan,Number,17
1964,Zach,Number,
1964,Bobby,Number,
1964,Daragh,Number,7
1964,Kacper,Number,
1964,Hugh,Number,112
1964,Colin,Number,37
1964,Craig,Number,4
1964,Lorcan,Number,11
1964,Richard,Number,301
1964,Owen,Number,59
1964,Connor,Number,
1964,Donnacha,Number,
1964,Micheal,Number,
1964,Billy,Number,
1964,Tristan,Number,
1964,Darren,Number,
1964,Corey,Number,
1964,Daire,Number,6
1964,Denis,Number,347
1964,Luca,Number,
1964,Patryk,Number,
1964,Tyler,Number,
1964,Philip,Number,187
1964,Daithi,Number,
1964,Tiernan,Number,3
1964,Sebastian,Number,
1964,Simon,Number,36
1964,Danny,Number,
1964,Filip,Number,
1964,Gerard,Number,815
1964,Karl,Number,40
1964,Shay,Number,
1964,Eric,Number,34
1964,George,Number,115
1964,Calvin,Number,
1964,Keelan,Number,
1964,Nicholas,Number,92
1964,Seamus,Number,87
1964,Brendan,Number,426
1964,Dawid,Number,
1964,Shaun,Number,
1964,Steven,Number,3
1964,Gearoid,Number,9
1964,Joe,Number,
1964,Tommy,Number,
1964,Cody,Number,
1964,Jay,Number,
1964,Tadgh,Number,
1964,Ewan,Number,
1964,Paddy,Number,
1964,Lewis,Number,
1964,Caleb,Number,
1964,Marcus,Number,14
1964,Caolan,Number,
1964,Taylor,Number,
1964,Keith,Number,32
1964,Adrian,Number,75
1964,Bradley,Number,
1964,Oskar,Number,
1964,Conall,Number,
1964,Dillon,Number,
1964,Eanna,Number,
1964,Justin,Number,13
1964,Marc,Number,
1964,Damien,Number,49
1964,Mateusz,Number,
1964,Muhammad,Number,
1964,Henry,Number,87
1964,Glen,Number,3
1964,Szymon,Number,
1964,Zack,Number,
1964,Reuben,Number,
1964,Timothy,Number,295
1964,Jan,Number,
1964,Barry,Number,62
1964,Blake,Number,
1964,Bryan,Number,8
1964,Lennon,Number,
1964,Tiarnan,Number,
1964,Declan,Number,321
1964,Emmet,Number,
1964,Hayden,Number,
1964,Jordan,Number,
1964,Donal,Number,144
1964,Ian,Number,86
1964,Jude,Number,
1964,Riain,Number,
1964,Victor,Number,18
1964,Alfie,Number,
1964,Dominik,Number,
1964,Eamon,Number,86
1964,Fiachra,Number,
1964,Gabriel,Number,57
1964,Logan,Number,
1964,Donncha,Number,
1964,Elliot,Number,
1964,Gary,Number,41
1964,Ivan,Number,11
1964,Joey,Number,
1964,Kai,Number,
1964,Mikolaj,Number,
1964,Neil,Number,43
1964,Pierce,Number,10
1964,Enda,Number,49
1964,Hugo,Number,
1964,Jesse,Number,
1964,Lukas,Number,
1964,Morgan,Number,10
1964,Vincent,Number,148
1964,Luka,Number,
1964,Shayne,Number,
1964,Troy,Number,
1964,Zachary,Number,
1964,Arthur,Number,31
1964,Donagh,Number,9
1964,Noel,Number,394
1964,Shea,Number,
1964,Theo,Number,
1964,Toby,Number,
1964,Bernard,Number,201
1964,Eamonn,Number,83
1964,Emmanuel,Number,
1964,Joel,Number,
1964,Kamil,Number,
1964,Olivier,Number,
1964,Pearse,Number,
1964,Travis,Number,
1964,Aodhan,Number,
1964,Euan,Number,
1964,Jonah,Number,
1964,Mathew,Number,12
1964,Mohammad,Number,
1964,Raymond,Number,237
1964,Tony,Number,
1964,Conal,Number,5
1964,Conn,Number,
1964,Dominic,Number,41
1964,Fintan,Number,29
1964,Mason,Number,
1964,Padraic,Number,5
1964,Ali,Number,
1964,Bartosz,Number,
1964,Kane,Number,
1964,Matas,Number,
1964,Naoise,Number,
1964,Ruadhan,Number,
1964,Antoni,Number,
1964,Bailey,Number,
1964,Brooklyn,Number,
1964,Clayton,Number,
1964,Conan,Number,
1964,Felix,Number,9
1964,Francis,Number,429
1964,Frank,Number,9
1964,Harvey,Number,
1964,Johnny,Number,
1964,Michal,Number,
1964,Mikey,Number,
1964,Nikodem,Number,
1964,Roan,Number,
1964,Rowan,Number,
1964,Wayne,Number,3
1964,Will,Number,
1964,Zak,Number,
1964,Aran,Number,
1964,Carl,Number,11
1964,Derek,Number,237
1964,Lochlann,Number,
1964,Maciej,Number,
1964,Maksymilian,Number,
1964,Marcel,Number,
1964,Myles,Number,25
1964,Nikita,Number,
1964,Preston,Number,
1964,Zac,Number,
1964,Ahmed,Number,
1964,Alexandru,Number,
1964,Desmond,Number,145
1964,Elijah,Number,
1964,Elliott,Number,
1964,Ferdia,Number,
1964,Fionnan,Number,
1964,Harrison,Number,
1964,Mohammed,Number,
1964,Nicolas,Number,
1964,Olan,Number,
1964,Pawel,Number,
1964,Prince,Number,
1964,Robbie,Number,
1964,Roy,Number,7
1964,Sonny,Number,
1964,Stefan,Number,
1964,Dermot,Number,195
1964,Glenn,Number,8
1964,Igor,Number,
1964,Kenneth,Number,150
1964,Laurence,Number,141
1964,Marco,Number,4
1964,Milo,Number,
1964,Mohamed,Number,
1964,Ultan,Number,7
1964,Warren,Number,4
1964,Ashton,Number,
1964,Austin,Number,20
1964,Davin,Number,
1964,Donnchadh,Number,
1964,Finlay,Number,
1964,Freddie,Number,
1964,Graham,Number,16
1964,Jeremiah,Number,161
1964,Jerry,Number,
1964,Kealan,Number,
1964,Maxim,Number,
1964,Maximilian,Number,
1964,Riley,Number,
1964,Rocco,Number,
1964,Ruben,Number,
1964,Tim,Number,
1964,Wiktor,Number,
1964,Aron,Number,
1964,Bill,Number,
1964,Caoimhin,Number,
1964,Cuan,Number,
1964,Dan,Number,
1964,Derry,Number,
1964,Devin,Number,
1964,Diego,Number,
1964,Fionan,Number,
1964,Gregory,Number,47
1964,Ibrahim,Number,
1964,Jeremy,Number,
1964,Kajus,Number,
1964,Louie,Number,
1964,Mario,Number,3
1964,Rossa,Number,
1964,Abdullah,Number,
1964,Aleksander,Number,
1964,Andre,Number,
1964,Andrei,Number,
1964,Antonio,Number,
1964,Briain,Number,
1964,Caelan,Number,
1964,Cole,Number,
1964,Cory,Number,
